video_id,category_id,duration_seconds,upload_hour,upload_dayofweek,is_weekend,early_snapshot_age_hours,early_snapshot_count,early_views,early_likes,early_comments,early_views_per_hour,early_like_rate,early_comment_rate,early_engagement_rate,target_snapshot_age_hours,target_engagement_rate
SUg1ltbDyvo,15.0,559.0,21,1,0,5.9448525000000005,30,3133,24,0,527.0105524064726,0.7660389403127992,0.0,0.7660389403127992,23.944769722222222,0.4761173398863462
SdH_8Q2CBZQ,15.0,62.0,20,3,0,5.875169722222222,21,2696,258,1,458.8803604775295,9.56973293768546,0.0370919881305638,9.606824925816024,24.04173027777778,8.141072740631888
SmzHvL1CQwE,15.0,431.0,21,3,0,5.943100555555556,27,410,46,7,68.98755896309642,11.219512195121952,1.707317073170732,12.926829268292684,23.94319055555556,2.524383247274814
T1kfn11F_8o,22.0,3590.0,13,0,0,5.924686944444445,36,160,22,1,27.005646289890706,13.750000000000002,0.625,14.374999999999998,23.924649722222224,13.93939393939394
T1zyJ4PbGY4,15.0,23.0,20,0,0,5.983693333333333,22,4021,115,1,671.9929942933796,2.8599850783387217,0.0248694354638149,2.8848545138025363,23.983386666666664,1.6743508857073528
TAH2OVrjqgs,20.0,13.0,17,2,0,5.9466005555555554,21,6367,585,5,1070.695759790304,9.18800062823936,0.0785299198994817,9.26653054813884,23.946414166666667,4.844477604260464
TAS2FMyCQbQ,15.0,50.0,20,6,1,5.9442466666666665,23,18949,1752,18,3187.7883039846934,9.245870494485198,0.0949918201488205,9.340862314634018,23.944355277777778,6.354759148336438
TAtAINFEfkA,15.0,61.0,21,5,1,5.924364166666667,28,851,39,6,143.6441069555003,4.582843713278495,0.7050528789659225,5.287896592244419,23.9242125,4.097646033129904
TO79ybD45ko,20.0,11.0,20,0,0,5.941290833333333,21,2388,36,2,401.9328571835329,1.507537688442211,0.083752093802345,1.5912897822445562,23.941173888888887,1.1391094235415948
TSqcl3wozb0,24.0,1650.0,22,3,0,5.908438611111111,33,43,8,1,7.277726457060309,18.6046511627907,2.3255813953488373,20.930232558139537,24.07509083333333,11.688311688311687
U-aLWZFCGOI,25.0,2029.0,23,5,1,5.940687499999999,21,466,28,2,78.44209950447656,6.008583690987124,0.4291845493562232,6.437768240343347,23.94070972222222,2.891891891891892
U7LrBetf0Hw,22.0,7218.0,14,3,0,5.941475555555556,21,92,6,0,15.484369015702796,6.521739130434782,0.0,6.521739130434782,23.94143472222222,2.782324058919804
U9f286_cv6Q,15.0,33.0,22,1,0,5.938495277777777,33,9197,294,1,1548.7088176049836,3.196694574317712,0.010873110796999,3.207567685114712,23.938435833333337,0.801829268292683
U9liDjmU2aE,15.0,44.0,21,3,0,5.946544444444445,30,982,41,10,165.1379232383326,4.1751527494908345,1.0183299389002036,5.193482688391039,23.946481944444447,5.29595015576324
UFzNPI6Fg2k,15.0,56.0,20,6,1,5.924818055555556,25,9821,762,3,1657.603644181291,7.75888402403014,0.0305467874961816,7.789430811526321,23.92495138888889,5.143441946452742
UONuVfizS44,24.0,5017.0,15,2,0,5.944897500000001,9,118,2,0,19.84895450257973,1.694915254237288,0.0,1.694915254237288,23.94478666666667,0.5660377358490566
