video_id,category_id,duration_seconds,upload_hour,upload_dayofweek,is_weekend,early_snapshot_age_hours,early_snapshot_count,early_views,early_likes,early_comments,early_views_per_hour,early_like_rate,early_comment_rate,early_engagement_rate,target_snapshot_age_hours,target_engagement_rate
YPsmgJGj2t0,10.0,428,11,3,0,5.837528228,8,154734.0,2290.0,214.0,26506.7669,1.4799591557123837,0.1383018599661354,1.618261015678519,24.04411871,0.5144219247648788
Y_Sh2AhhtCc,20.0,26452,22,1,0,0.503842565,2,1412523.0,0.0,0.0,2803500.734,0.0,0.0,0.0,18.82722364,0.0
ZPmRTeh6izw,20.0,2078,7,3,0,5.964088153,4,154135.0,4778.0,273.0,25843.85006,3.099879975346288,0.1771174619651604,3.276997437311448,24.0332237,2.2722146014327085
ZYIWPnkXz5o,10.0,150,5,0,0,5.955938699,16,265903.0,42855.0,3459.0,44645.01961,16.116779427084314,1.300850310075479,17.417629737159793,24.01297143,9.942614455090125
Zovhbi68C_s,24.0,290,3,4,0,5.885680175,11,29950.0,1804.0,54.0,5088.621724,6.023372287145242,0.1803005008347245,6.203672787979967,23.92986743,4.3933459424844
_TGTteWohYA,10.0,188,4,4,0,5.96101922,17,177416.0,39499.0,7739.0,29762.69551,22.26349370969924,4.362064300852234,26.62555801055147,24.00522013,15.39406274885918
_UrK3d08v1o,20.0,5458,4,1,0,5.924606851,34,809329.0,3821.0,0.0,136604.6761,0.4721194965211922,0.0,0.4721194965211922,18.46523504,0.4688302580109842
_elzbU-AIdY,23.0,85,1,6,1,4.611574044,8,77987.0,4335.0,66.0,16911.14558,5.558618744149666,0.0846294895303063,5.643248233679973,24.03858977,2.620144631251335
_kchHoPAzYk,24.0,302,10,5,1,5.941427421,26,215026.0,13576.0,343.0,36190.96637,6.31365509287249,0.159515593463116,6.473170686335605,23.99145678,4.304010357922276
aZ0VEzgghhk,20.0,1161,10,4,0,5.982299251,17,218973.0,11399.0,939.0,36603.48485,5.205664625319104,0.4288199915058021,5.634484616824905,24.02666085,3.900067928975982
alBnV586WB8,20.0,18703,14,2,0,5.924699735,33,848701.0,3140.0,0.0,143247.9346,0.3699771768856169,0.0,0.3699771768856169,21.45300537,0.368342564474673
aupms_EE45c,20.0,19443,17,4,0,5.897576762,34,6203287.0,316729.0,484.0,1051836.585,5.105825347110331,0.0078023151274477,5.1136276622377785,23.94316939,5.017507093020925
b5aMbsJq_EI,10.0,277,7,4,0,5.884390985,11,222153.0,30993.0,4225.0,37752.92984,13.951195797490918,1.9018424239150495,15.853038221405969,23.92931979,7.776992540243424
bKjTcBIiHtU,20.0,20861,16,6,1,5.836744581,30,748375.0,17568.0,88.0,128217.8772,2.3474862201436446,0.0117588107566393,2.359245030900284,24.02392831,2.301898333903559
bqtDaawf7Po,20.0,1024,10,6,1,5.874720392,22,475289.0,16456.0,1892.0,80904.10578,3.4623145075943267,0.3980735931191338,3.8603881007134606,23.9740495,2.5342241492049764
c0FwPUkIFKo,20.0,646,10,1,0,5.881164315,19,340738.0,8825.0,419.0,57937.16716,2.589966484513028,0.1229683803978423,2.7129348649108698,24.07663728,1.9485137034593445
cX7nP0vlHzk,24.0,213,9,5,1,5.974531435,11,93878.0,4771.0,223.0,15713.03139,5.082127868084109,0.2375423421887982,5.319670210272907,23.02037486,3.97611385577664
dJyFI49dsnQ,10.0,281,12,4,0,5.891013438,7,46433.0,1044.0,46.0,7882.005447,2.248400921758232,0.09906747356406,2.3474683953222923,23.93569881,0.7407931329527694
dbV8zX3eyRo,20.0,19961,22,4,0,5.904773867,30,1308009.0,18766.0,330.0,221517.2045,1.4346996083360284,0.0252291842028609,1.4599287925388893,21.11023632,1.4200902363008046
dlt3AH4sPZs,22.0,176,1,3,0,5.978426406,8,33531.0,6391.0,506.0,5608.666515,19.05997435209209,1.5090513256389608,20.56902567773105,25.0178139,10.835333805691564
dyCiBem2p80,20.0,36625,21,5,1,5.980482769,35,1594686.0,56189.0,15.0,266648.373,3.5235149741077554,0.0009406240476181,3.524455598155374,19.8541577,3.4564851609207747
e8farYrzs30,10.0,3939,7,1,0,0.916954736,6,115867.0,734.0,49.0,126360.6538,0.63348494394435,0.0422898668300724,0.6757748107744224,24.01397862,0.937368531762726
ef-VinfaqSs,24.0,188,15,1,0,5.888816178,12,93037.0,3726.0,388.0,15798.93092,4.004858282188806,0.4170383825789739,4.421896664767781,25.02557593,2.95803310373043
ejX6MHgKAlM,10.0,187,10,1,0,5.920647984,1,265635.0,13147.0,285.0,44865.86616,4.949272497976547,0.1072900784911626,5.05656257646771,23.94912068,3.3320693565523483
fU_R0W8V76w,10.0,337,1,4,0,5.951812176,16,20973.0,246.0,9.0,3523.800715,1.1729366328136177,0.0429123158346445,1.2158489486482622,23.99592588,0.6704818665131557
fWr5d5tEITE,20.0,699,14,3,0,5.844022154,26,253494.0,3084.0,246.0,43376.63227,1.2165968425288172,0.0970437170110535,1.3136405595398708,24.05308787,0.8398205411063793
fY0_cdlsmd8,20.0,4119,12,6,1,5.851128174,7,415570.0,27404.0,3024.0,71023.90986,6.594316240344587,0.7276752412349303,7.321991481579518,23.95095638,4.932410226017618
fhMHHRM6Vtc,10.0,218,12,2,0,5.995637407,12,166215.0,12279.0,403.0,27722.65711,7.387419907950546,0.2424570586288842,7.629876966579429,24.02846062,2.9865112203505664
fjPIfMqywzQ,24.0,560,9,5,1,5.192309213,7,45939.0,3854.0,139.0,8847.50852,8.38938592481334,0.3025751540085766,8.691961078821917,19.39681407,6.020432357762131
fk0JHh1P9H0,24.0,165,11,4,0,5.894505224,22,663878.0,37847.0,1762.0,112626.5861,5.70089685152995,0.2654102109122459,5.966307062442196,23.93905729,2.2197874561963498
g_NaHx4zbuc,20.0,5041,12,6,1,5.855919862,20,405225.0,26341.0,2821.0,69199.20518,6.500339317663027,0.6961564562897156,7.196495773952742,24.04225472,4.554982923287727
gaS_AxmRPp0,10.0,347,0,2,0,5.942704485,3,13041.0,256.0,3.0,2194.455409,1.9630396441990643,0.0230043708304577,1.9860440150295224,23.97331855,0.900048990008317
iAynAx7qJ7k,20.0,21223,16,4,0,5.861752815,30,903552.0,16098.0,41.0,154143.6544,1.7816351466213345,0.0045376469754922,1.786172793596827,24.07444425,1.7595844989872382
iICsPVqSWDM,20.0,1266,9,6,1,5.842636504,3,253391.0,6229.0,897.0,43369.29053,2.458256212730523,0.3539983661613869,2.81225457889191,20.85798127,2.004346299060497
iL0UTDKMhxU,24.0,440,13,2,0,5.850066815,24,30402.0,2977.0,97.0,5196.863722,9.792118939543451,0.3190579567133741,10.111176896256826,24.0501709,6.529424367947437
iZjJDyOuNO8,20.0,720,12,4,0,5.883460008,11,436743.0,8008.0,440.0,74232.33938,1.833572604483644,0.1007457474991013,1.934318351982745,23.92810237,1.3088513270974882
isrF0rMtbVY,24.0,403,13,1,0,5.922843858,16,33521.0,2311.0,163.0,5659.612309,6.894185734315802,0.4862623430088601,7.380448077324663,23.95166803,5.324074074074074
